₿	Nuevo Guaraní
€	Euro
₲	Guaraní
$	Dólar
de-DE	Alemán
en-US	Inglés
es-PY	Español
gn-PY	Guaraní
account	Cuenta
account name:	Nombre de la cuenta:
about @	circa de @
add new	Añadir nuevo
all data has been deleted and/or reset to installation defaults	Se han borrado todos los datos y/o se han restablecido los valores predeterminados de instalación.
API auth token	Token de autenticación API
API bearer token	Token de autenticación API
are you sure?	¿Está seguro?
base URL	URL básica
bill	FACTURA
camera selection	Selección de cámara
cash	EFECTIVO
cash back amount	IMPORTE
cash register number	caja na
cashier	cajero
coinos compatible	Compatible con coinos
colors	colores
confirm	CONFIRME
currency	Moneda
currencies	Monedas
customer bill	Factura cliente
danger zone	Zona de peligro
dark/light mode	Modo oscuro/claro
dark mode	Modo oscuro
date	fecha
default vendor currency	Moneda para la fijación de precios
delete '@'?	¿Borrar '@'?
delete all data	Borrar todos los datos de todas las cuentas
delete data	Borrar datos
Discard this invoice?	¿Descartar esta factura?
enabled currencies	Monedas habilitadas
enabled payment methods	Formas de pago habilitados
external	Exterior
financial	financiero
How would you like to pay?	¿Cómo le gustaría pagar?
instant	INSTANTE
invoice details	factura contado
invoice number	factura na
invoice subtotal	importe total
item	ARTÍCULO
language	Idioma
layout	Presentación
license number	timbrado na
light mode	Modo claro
lnbc item description	PAGO DE FACTURA NUEVO GUARANÍ
my business	Mi negocio
new account	Nueva cuenta
no	NO
not set	No configurado
payment	PAGO
payment method	Forma de pago
payment methods	Formas de pagos
plain	simple
price	PRECIO
pricing	Fijación de precios
QR code and barcode scanning	Escaneado de códigos QR y códigos de barras
qty	CANT.	CANTIDAD
receipt	ticket
rename	Cambiar nombre
set API key	Establecer clave API
settings	Ajustes
strike compatible	Compatible con strike
subtotal	IMPORTE TOTAL
switch account	Cambiar de cuenta
tax	IVA
tax included	IVA incluido
terms of sale	condición de venta contado
textures	texturas
theme	Tema
themes	Temas
valid from	valido desde
valid till	valido hasta
wallet	Monedero
Would you like cash back?	¿Quiere que le devolvamos dinero?
Would you like money back?	¿Quiere que le devolvamos dinero?
